"search-number","evaluation","population*","mean-strength*","stddev-strength*","egg-laying-radius*","expected-egg-quantity*","inherit-parent-strength*","fitness","num-replicates","best-fitness-so-far"
"4","390","28","59","9","8","10","false","59.432819057054516","10","88.63395739176822"
"4","400","32","55","10","5","6","false","55.603470079786874","10","88.63395739176822"
"4","410","20","58","5","6","8","true","68.06055219724891","10","88.63395739176822"
"4","420","32","58","7","8","9","false","58.209575171619676","10","88.63395739176822"
"4","430","40","56","5","9","7","false","56.101953677490336","10","88.63395739176822"
"4","440","32","57","8","7","9","true","81.23509707930425","10","88.63395739176822"
"4","450","40","50","5","8","7","false","50.14720542358623","10","88.63395739176822"
"4","460","40","54","6","8","9","false","54.25289343920038","10","88.63395739176822"
"4","470","20","54","8","4","6","false","54.584104161477555","10","88.63395739176822"
"4","480","20","59","8","5","3","true","73.77308617713346","10","88.63395739176822"
"4","490","20","57","9","4","5","true","78.8908489285375","10","88.63395739176822"
"4","500","20","50","5","7","7","true","61.512713162546206","10","88.63395739176822"
"5","10","32","55","6","7","10","true","70.44871335352175","10","70.44871335352175"
"5","20","20","51","5","4","9","false","51.22372270490884","10","70.44871335352175"
"5","30","20","55","8","8","5","true","75.15318103606126","10","75.15318103606126"
"5","40","20","54","8","4","6","true","76.02593252969734","10","76.02593252969734"
"5","50","32","50","9","4","6","false","50.77667054819368","10","76.02593252969734"
"5","60","24","59","9","7","6","false","59.749661192724865","10","76.02593252969734"
"5","70","32","52","5","7","3","false","52.14399879592638","10","76.02593252969734"
"5","80","40","58","8","7","9","true","81.94209309570962","10","81.94209309570962"
"5","90","36","54","6","7","10","true","72.129781881004","10","81.94209309570962"
"5","100","20","59","8","4","3","true","75.81397891370158","10","81.94209309570962"
"5","110","20","54","6","4","7","false","54.35315557174357","10","81.94209309570962"
"5","120","20","54","5","7","6","true","64.38008808341041","10","81.94209309570962"
"5","130","36","56","8","6","6","false","56.36970526106747","10","81.94209309570962"
"5","140","32","54","5","7","4","true","63.440190677364726","10","81.94209309570962"
"5","150","32","59","6","5","3","false","59.36183595691968","10","81.94209309570962"
"5","160","36","52","7","4","4","true","69.3359287734307","10","81.94209309570962"
"5","170","36","57","5","4","8","true","68.99576909162897","10","81.94209309570962"
"5","180","20","60","8","7","10","false","60.355315223058895","10","81.94209309570962"
"5","190","20","56","8","9","8","false","56.52716326475625","10","81.94209309570962"
"5","200","32","60","6","9","7","false","60.10251556281255","10","81.94209309570962"
"5","210","20","52","5","9","10","true","64.20713783300802","10","81.94209309570962"
"5","220","28","57","5","4","7","true","66.68171721619902","10","81.94209309570962"
"5","230","40","50","8","7","3","true","70.50591730832005","10","81.94209309570962"
"5","240","20","57","5","7","4","false","57.29457297100718","10","81.94209309570962"
"5","250","20","52","9","7","7","true","78.8509061787045","10","81.94209309570962"
"5","260","20","56","7","7","5","false","56.24531586671471","10","81.94209309570962"
"5","270","40","57","8","6","5","true","80.30951088193405","10","81.94209309570962"
"5","280","36","54","6","9","3","false","54.61457298189045","10","81.94209309570962"
"5","290","24","59","7","8","8","false","59.40360032370789","10","81.94209309570962"
"5","300","20","51","6","4","3","true","64.88031591773252","10","81.94209309570962"
"5","310","24","54","10","5","6","false","54.74939365491862","10","81.94209309570962"
"5","320","32","56","8","7","10","true","79.08636275717699","10","81.94209309570962"
"5","330","32","56","8","9","5","true","80.21300341673944","10","81.94209309570962"
"5","340","32","50","6","5","3","false","50.202924496720804","10","81.94209309570962"
"5","350","24","50","6","7","5","true","67.04324529855884","10","81.94209309570962"
"5","360","20","54","10","6","3","true","79.47515243988869","10","81.94209309570962"
"5","370","32","53","8","7","8","true","77.13596101904405","10","81.94209309570962"
"5","380","32","54","8","4","8","false","54.73067502714607","10","81.94209309570962"
